x_,y_,t_,id
419130.4243002038,4271954.969366447,2014-10-30T23:01:54Z,F64
405738.6334970512,4258226.3296509925,2014-10-30T23:01:57Z,C028
419364.61229321134,4271566.102619054,2014-10-31T03:01:15Z,F64
415884.4441690736,4255902.538151445,2014-10-31T03:01:21Z,F53
415908.03910207556,4255827.071606124,2014-10-31T07:01:23Z,F53
409952.16666049365,4260560.86682591,2014-10-31T07:02:45Z,C028
419381.99448804546,4271564.040803101,2014-10-31T11:01:45Z,F64
415868.5432831158,4255875.049227555,2014-10-31T11:01:59Z,F53
414453.75649228576,4255624.599127202,2014-10-31T15:01:07Z,F53
419906.82182251394,4272029.780105896,2014-10-31T15:01:22Z,F64
404830.9855567594,4256572.149167339,2014-10-31T15:01:23Z,C028
419888.3422008389,4272069.14029479,2014-10-31T19:01:21Z,F64
404234.7810774143,4256284.786093588,2014-10-31T23:01:00Z,C028
419708.97550425766,4271251.646256872,2014-10-31T23:01:14Z,F64
414284.59614639427,4255855.501275229,2014-10-31T23:02:06Z,F53
419094.36071058863,4271155.250232337,2014-11-01T03:00:59Z,F64
413612.4154752511,4256345.412920089,2014-11-01T03:01:06Z,F53
404599.5234431926,4258301.62496095,2014-11-01T07:00:50Z,C028
414000.8388760571,4257079.834505797,2014-11-01T07:01:01Z,F53
419634.21966279135,4271520.230299663,2014-11-01T07:02:23Z,F64
413682.8858114336,4258324.437014236,2014-11-01T11:00:58Z,F53
420025.8210294907,4271878.980456168,2014-11-01T11:01:19Z,F64
413634.1112877431,4258479.186766504,2014-11-01T15:01:48Z,F53
406210.95818948053,4259890.217574555,2014-11-01T15:01:53Z,C028
413640.619039424,4258477.485434511,2014-11-01T19:01:12Z,F53
420020.6015041903,4272430.935551724,2014-11-01T19:01:20Z,F64
419846.262194972,4272096.5738561675,2014-11-01T23:01:19Z,F64
407093.32610737626,4261595.941992474,2014-11-01T23:02:10Z,C028
414001.3927734628,4261360.7892864635,2014-11-02T03:01:18Z,F53
419858.57853140915,4272073.200611839,2014-11-02T03:01:22Z,F64
419973.96327220503,4271940.847543236,2014-11-02T07:01:36Z,F64
406967.1312045638,4260807.098979637,2014-11-02T07:03:04Z,C028
419973.66788505047,4271940.05145974,2014-11-02T11:02:06Z,F64
415670.2960337023,4261192.794895744,2014-11-02T15:00:56Z,F53
419830.5827055541,4272096.35367977,2014-11-02T15:00:57Z,F64
410126.963531258,4259189.64648223,2014-11-02T15:01:19Z,C028
419837.4220491156,4272093.976792562,2014-11-02T19:00:55Z,F64
415744.2106009438,4261166.92668205,2014-11-02T19:01:49Z,F53
419832.7208591078,4272095.044907012,2014-11-02T23:00:59Z,F64
406928.45046509296,4257179.7990916455,2014-11-02T23:01:02Z,C028
417795.6160730981,4260676.013292212,2014-11-02T23:01:48Z,F53
420087.5016925323,4271865.668153721,2014-11-03T03:01:17Z,F64
404767.2629661503,4260356.995529685,2014-11-03T07:01:42Z,C028
402242.04412691924,4261930.716118458,2014-11-03T15:02:59Z,C028
417771.3494013486,4262447.969923668,2014-11-03T19:00:59Z,F53
407111.0403449283,4261569.634271418,2014-11-03T23:01:02Z,C028
417565.5124317637,4262795.342296182,2014-11-03T23:02:18Z,F53
414500.1915928191,4260771.961418154,2014-11-04T03:01:20Z,F53
408532.58772579604,4261799.582946589,2014-11-04T07:02:30Z,C028
409808.7570311361,4260205.056310166,2014-11-04T15:01:02Z,C028
414861.95009490586,4258668.114210076,2014-11-04T15:01:14Z,F53
419938.09341661196,4272646.991349441,2014-11-04T15:02:09Z,F64
414868.384180024,4258587.010496343,2014-11-04T19:01:40Z,F53
404126.6734006837,4260906.499379758,2014-11-04T23:00:56Z,C028
414852.7847266451,4258594.411539112,2014-11-04T23:01:48Z,F53
419893.5146593135,4272256.862735896,2014-11-04T23:02:05Z,F64
419900.11659012455,4272068.167841046,2014-11-05T03:01:14Z,F64
415868.7793593451,4255885.93353285,2014-11-05T03:01:16Z,F53
409361.1690083724,4257599.917684724,2014-11-05T07:01:02Z,C028
420047.36561246467,4271877.755178311,2014-11-05T07:01:13Z,F64
420040.5966602404,4271863.673199457,2014-11-05T11:01:20Z,F64
408788.7687417951,4261982.4255949585,2014-11-05T15:01:52Z,C028
414548.1177368357,4255079.776600961,2014-11-05T15:02:12Z,F53
419490.467627274,4272377.059294179,2014-11-05T19:01:17Z,F64
414557.0118282422,4255077.307201798,2014-11-05T19:01:21Z,F53
404565.68274342705,4261002.672046334,2014-11-05T23:00:50Z,C028
419454.9022801155,4272451.772591873,2014-11-05T23:01:20Z,F64
419437.1806381964,4272169.212760607,2014-11-06T03:01:21Z,F64
407590.3316393207,4261176.257562838,2014-11-06T07:00:54Z,C028
420541.8876320857,4272040.403290333,2014-11-06T07:01:53Z,F64
420847.1776985341,4272127.545334983,2014-11-06T11:01:21Z,F64
407907.1502557753,4261355.01247681,2014-11-06T15:01:39Z,C028
419906.9101021197,4272678.654832135,2014-11-06T19:00:58Z,F64
419909.4676219602,4272660.97265356,2014-11-06T23:00:59Z,F64
420617.69109101046,4272597.057067908,2014-11-07T03:00:56Z,F64
409906.5129268017,4256806.7230778625,2014-11-07T07:00:52Z,C028
420847.73535000766,4272281.576387873,2014-11-07T07:01:17Z,F64
419814.3528273258,4271375.661107063,2014-11-07T11:01:30Z,F64
407478.64443875896,4260762.144256065,2014-11-07T15:01:02Z,C028
419286.5454855517,4271343.63591276,2014-11-07T15:01:50Z,F64
420002.07462358696,4271891.70289701,2014-11-07T23:01:37Z,F64
419945.9145325872,4272454.766195924,2014-11-08T03:01:42Z,F64
