id,y,x,t
N17003,40.09557,-94.54621,3/17/2017 20:01
N17003,40.09827,-94.54232,3/18/2017 1:01
N17003,40.09688,-94.54258,3/18/2017 6:01
N17003,40.1006,-94.54668,3/18/2017 11:01
N17003,40.1,-94.54693,3/18/2017 16:01
N17003,40.10046,-94.53774,3/18/2017 21:01
N17003,40.10404,-94.53358,3/19/2017 2:02
N17003,40.10246,-94.54101,3/19/2017 7:01
N17003,40.10016,-94.54182,3/19/2017 12:01
N17003,40.10004,-94.54588,3/19/2017 17:01
N17003,40.09513,-94.53482,3/19/2017 22:01
N17003,40.09394,-94.54071,3/20/2017 3:01
N17003,40.09731,-94.54541,3/20/2017 8:01
N17003,40.09769,-94.54551,3/20/2017 13:01
N17003,40.09772,-94.54573,3/20/2017 18:01
N17003,40.09611,-94.54167,3/20/2017 23:01
N17003,40.09609,-94.54092,3/21/2017 4:01
N17003,40.0973,-94.55011,3/21/2017 9:01
N17003,40.09684,-94.55014,3/21/2017 14:01
N17003,40.09562,-94.54846,3/21/2017 19:01
N17003,40.0954,-94.54811,3/22/2017 0:01
N17003,40.09556,-94.55055,3/22/2017 5:01
N17003,40.09827,-94.55015,3/22/2017 10:01
N17003,40.09997,-94.55052,3/22/2017 15:01
N17003,40.09481,-94.55089,3/22/2017 20:01
N17003,40.09413,-94.55103,3/23/2017 1:01
N17003,40.09541,-94.55355,3/23/2017 6:01
N17003,40.09711,-94.55055,3/23/2017 11:01
N17003,40.09892,-94.552,3/23/2017 16:01
N17003,40.09471,-94.5419,3/23/2017 21:01
N17003,40.09463,-94.54167,3/24/2017 2:01
N17003,40.09732,-94.54685,3/24/2017 7:01
N17003,40.09889,-94.54281,3/24/2017 12:01
N17003,40.0945,-94.54552,3/24/2017 17:01
N17003,40.09603,-94.53861,3/24/2017 22:01
N17003,40.09232,-94.53372,3/25/2017 3:01
N17003,40.10131,-94.54542,3/25/2017 8:01
N17003,40.10083,-94.54546,3/25/2017 13:02
N17003,40.10131,-94.54452,3/25/2017 18:01
N17003,40.09505,-94.54426,3/25/2017 23:01
N17003,40.09604,-94.5421,3/26/2017 4:01
N17003,40.09728,-94.54481,3/26/2017 9:01
N17003,40.10015,-94.54847,3/26/2017 14:01
N17003,40.10413,-94.54033,3/26/2017 19:01
N17003,40.10038,-94.53995,3/27/2017 0:01
N17003,40.10268,-94.54296,3/27/2017 5:01
N17003,40.09974,-94.54734,3/27/2017 10:01
N17003,40.10051,-94.54869,3/27/2017 15:01
N17003,40.09513,-94.54803,3/27/2017 20:01
N17003,40.09447,-94.55071,3/28/2017 1:01
N17003,40.09511,-94.5474,3/28/2017 6:01
N17003,40.09569,-94.54981,3/28/2017 11:01
N17003,40.096,-94.54975,3/28/2017 16:01
N17003,40.09463,-94.54872,3/28/2017 21:01
N17003,40.09556,-94.54799,3/29/2017 2:01
N17003,40.09932,-94.54598,3/29/2017 7:01
N17003,40.09893,-94.54644,3/29/2017 12:01
N17003,40.09666,-94.55046,3/29/2017 17:01
N17003,40.09491,-94.54936,3/29/2017 22:01
N17003,40.09562,-94.55099,3/30/2017 3:01
N17003,40.09793,-94.54948,3/30/2017 8:01
N17003,40.09772,-94.5496,3/30/2017 13:01
N17003,40.09766,-94.55178,3/30/2017 18:01
N17003,40.09548,-94.54895,3/30/2017 23:01
N17003,40.09576,-94.54285,3/31/2017 4:01
N17003,40.09556,-94.545,3/31/2017 9:01
N17003,40.09644,-94.54502,3/31/2017 14:02
N17003,40.09782,-94.54159,3/31/2017 19:01
N17003,40.09608,-94.54208,4/1/2017 0:01
N17003,40.09555,-94.54176,4/1/2017 5:01
N17003,40.09911,-94.55253,4/1/2017 10:01
N17003,40.09986,-94.5508,4/1/2017 15:01
N17003,40.10093,-94.55137,4/1/2017 20:01
N17003,40.10152,-94.54693,4/2/2017 1:01
N17003,40.10105,-94.54779,4/2/2017 6:01
N17003,40.10033,-94.54395,4/2/2017 11:01
N17003,40.09864,-94.5447,4/2/2017 16:01
N17003,40.09469,-94.5418,4/2/2017 21:01
N17003,40.0931,-94.53419,4/3/2017 2:01
N17003,40.09499,-94.5398,4/3/2017 7:01
N17003,40.09491,-94.53952,4/3/2017 12:01
N17003,40.09488,-94.53991,4/3/2017 17:01
N17003,40.09839,-94.54228,4/3/2017 22:01
N17003,40.0962,-94.543,4/4/2017 3:01
N17003,40.09703,-94.54571,4/4/2017 8:01
N17003,40.096,-94.54555,4/4/2017 13:01
N17003,40.0984,-94.54437,4/4/2017 18:01
N17003,40.09131,-94.53363,4/4/2017 23:01
N17003,40.09733,-94.53472,4/5/2017 4:01
N17003,40.09909,-94.54696,4/5/2017 9:01
N17003,40.09843,-94.54693,4/5/2017 14:01
N17003,40.09936,-94.53966,4/5/2017 19:01
N17003,40.10329,-94.54792,4/6/2017 0:01
N17003,40.1005,-94.54781,4/6/2017 5:01
N17003,40.09647,-94.55063,4/6/2017 10:01
N17003,40.09746,-94.55027,4/6/2017 15:01
N17003,40.09444,-94.55393,4/6/2017 20:01
N17003,40.09476,-94.55233,4/7/2017 1:01
N17003,40.09519,-94.53857,4/7/2017 6:01
N17003,40.09576,-94.54084,4/7/2017 11:01
N17003,40.0956,-94.54078,4/7/2017 16:01
N17003,40.09861,-94.54039,4/7/2017 21:01
N17003,40.09872,-94.54292,4/8/2017 2:01
N17003,40.09983,-94.54357,4/8/2017 7:01
N17003,40.10035,-94.54399,4/8/2017 12:02
N17003,40.10086,-94.54431,4/8/2017 17:01
N17003,40.09453,-94.54246,4/8/2017 22:01
N17003,40.09513,-94.53507,4/9/2017 3:01
N17003,40.0949,-94.54101,4/9/2017 8:01
N17003,40.09439,-94.53936,4/9/2017 13:01
N17003,40.0942,-94.54012,4/9/2017 18:01
N17003,40.09524,-94.53498,4/9/2017 23:01
N17003,40.09393,-94.53485,4/10/2017 4:01
N17003,40.10239,-94.53765,4/10/2017 9:01
N17003,40.10106,-94.5414,4/10/2017 14:01
N17003,40.10209,-94.54368,4/10/2017 19:01
N17003,40.10241,-94.5446,4/11/2017 0:01
N17003,40.10239,-94.54406,4/11/2017 5:01
N17003,40.09981,-94.54687,4/11/2017 10:01
N17003,40.09918,-94.54643,4/11/2017 15:01
N17003,40.09661,-94.54219,4/11/2017 20:01
N17003,40.09759,-94.54229,4/12/2017 1:01
N17003,40.0951,-94.54006,4/12/2017 6:01
N17003,40.09544,-94.53892,4/12/2017 11:01
N17003,40.09444,-94.53939,4/12/2017 16:01
N17003,40.09459,-94.54203,4/12/2017 21:01
N17003,40.09587,-94.5433,4/13/2017 2:01
N17003,40.09637,-94.54472,4/13/2017 7:01
N17003,40.09667,-94.54504,4/13/2017 12:01
N17003,40.09643,-94.54513,4/13/2017 17:01
N17003,40.09543,-94.54218,4/13/2017 22:01
N17003,40.09557,-94.54178,4/14/2017 3:01
N17003,40.09623,-94.5451,4/14/2017 8:01
N17003,40.09606,-94.54527,4/14/2017 13:01
N17003,40.09598,-94.5459,4/14/2017 18:01
N17003,40.09604,-94.54698,4/14/2017 23:01
N17003,40.09759,-94.54208,4/15/2017 4:01
N17003,40.10106,-94.54159,4/15/2017 9:01
N17003,40.101,-94.54172,4/15/2017 14:01
N17003,40.10215,-94.54116,4/15/2017 19:01
N17003,40.10489,-94.53932,4/16/2017 0:01
N17003,40.10174,-94.54513,4/16/2017 5:01
N17003,40.09941,-94.54662,4/16/2017 10:01
N17003,40.10029,-94.54739,4/16/2017 15:01
N17003,40.09983,-94.54045,4/16/2017 20:01
N17003,40.10023,-94.53995,4/17/2017 1:01
N17003,40.10083,-94.54125,4/17/2017 6:01
N17003,40.10066,-94.54193,4/17/2017 11:01
N17003,40.10069,-94.54212,4/17/2017 16:01
N17003,40.10203,-94.54336,4/17/2017 21:01
N17003,40.10211,-94.54711,4/18/2017 2:01
N17003,40.1007,-94.54879,4/18/2017 7:01
N17003,40.10023,-94.54814,4/18/2017 12:01
N17003,40.09969,-94.54872,4/18/2017 17:02
N17003,40.09524,-94.54842,4/18/2017 22:01
N17003,40.09533,-94.55066,4/19/2017 3:01
N17003,40.09806,-94.55235,4/19/2017 8:01
N17003,40.0996,-94.55329,4/19/2017 13:02
N17003,40.09976,-94.55319,4/19/2017 18:01
N17003,40.10145,-94.54805,4/19/2017 23:01
N17003,40.10094,-94.54827,4/20/2017 4:01
N17003,40.09983,-94.54727,4/20/2017 9:01
N17003,40.10053,-94.54759,4/20/2017 14:01
N17003,40.09886,-94.54532,4/20/2017 19:01
N17003,40.10219,-94.54705,4/21/2017 0:01
N17003,40.10189,-94.54597,4/21/2017 5:01
N17003,40.09917,-94.54617,4/21/2017 10:02
N17003,40.09917,-94.54695,4/21/2017 15:01
N17003,40.10173,-94.54201,4/21/2017 20:01
N17003,40.10182,-94.54546,4/22/2017 1:01
N17003,40.10069,-94.54412,4/22/2017 6:01
N17003,40.10073,-94.54248,4/22/2017 11:02
N17003,40.10047,-94.54799,4/22/2017 16:01
N17003,40.10168,-94.54565,4/22/2017 21:01
N17003,40.10161,-94.54185,4/23/2017 2:01
N17003,40.10086,-94.54139,4/23/2017 7:01
N17003,40.10108,-94.5406,4/23/2017 12:01
N17003,40.10146,-94.54051,4/23/2017 17:01
N17003,40.10195,-94.54546,4/23/2017 22:01
N17003,40.10186,-94.54546,4/24/2017 3:01
N17003,40.09988,-94.54479,4/24/2017 8:01
N17003,40.09976,-94.54218,4/24/2017 13:02
N17003,40.09914,-94.54228,4/24/2017 18:01
N17003,40.09995,-94.53779,4/24/2017 23:01
N17003,40.09524,-94.5352,4/25/2017 4:01
N17003,40.09772,-94.54571,4/25/2017 9:01
N17003,40.09799,-94.5457,4/25/2017 14:01
N17003,40.09785,-94.54439,4/25/2017 19:01
N17003,40.09367,-94.53468,4/26/2017 0:01
N17003,40.09349,-94.53469,4/26/2017 5:01
N17003,40.0969,-94.54467,4/26/2017 10:01
N17003,40.09659,-94.5454,4/26/2017 15:01
N17003,40.09665,-94.54573,4/26/2017 20:01
N17003,40.09664,-94.54598,4/27/2017 1:01
N17003,40.09804,-94.54808,4/27/2017 6:01
N17003,40.09803,-94.54832,4/27/2017 11:01
N17003,40.09854,-94.54803,4/27/2017 16:01
N17003,40.09681,-94.54773,4/27/2017 21:01
N17003,40.09682,-94.54767,4/28/2017 2:01
N17003,40.09945,-94.54706,4/28/2017 7:01
N17003,40.09906,-94.54605,4/28/2017 12:01
N17003,40.09939,-94.54605,4/28/2017 17:02
N17003,40.10194,-94.54552,4/28/2017 22:01
N17003,40.10227,-94.54546,4/29/2017 3:01
N17003,40.10105,-94.5472,4/29/2017 8:01
N17003,40.09795,-94.55297,4/29/2017 13:01
N17003,40.0974,-94.55314,4/29/2017 18:01
N17003,40.09648,-94.55465,4/29/2017 23:01
N17003,40.09829,-94.55248,4/30/2017 4:01
N17003,40.09794,-94.55013,4/30/2017 9:01
N17003,40.09767,-94.54981,4/30/2017 14:01
N17003,40.09882,-94.54878,4/30/2017 19:01
N17003,40.0987,-94.54885,5/1/2017 0:01
N17003,40.09877,-94.54888,5/1/2017 5:01
N17003,40.09794,-94.5478,5/1/2017 10:02
N17003,40.098,-94.54776,5/1/2017 15:01
N17003,40.09862,-94.54866,5/1/2017 20:01
N17003,40.0987,-94.54861,5/2/2017 1:01
N17003,40.09885,-94.55152,5/2/2017 6:01
N17003,40.0986,-94.55084,5/2/2017 11:01
N17003,40.09931,-94.55338,5/2/2017 16:01
N17003,40.09487,-94.54908,5/2/2017 21:01
N17003,40.09484,-94.54912,5/3/2017 2:01
N17003,40.09663,-94.54935,5/3/2017 7:01
N17003,40.09684,-94.54956,5/3/2017 12:01
N17003,40.09726,-94.54998,5/3/2017 17:01
N17003,40.09683,-94.54765,5/3/2017 22:01
N17003,40.09696,-94.54673,5/4/2017 3:01
N17003,40.09817,-94.54779,5/4/2017 8:01
N17003,40.09825,-94.54752,5/4/2017 13:01
N17003,40.09822,-94.54628,5/4/2017 18:01
N17003,40.09999,-94.54018,5/4/2017 23:01
N17003,40.09946,-94.53858,5/5/2017 4:01
N17003,40.10112,-94.54153,5/5/2017 9:01
N17003,40.10123,-94.54161,5/5/2017 14:01
N17003,40.10223,-94.54247,5/5/2017 19:01
N17003,40.10205,-94.5459,5/6/2017 0:01
N17003,40.10048,-94.55274,5/6/2017 5:01
N17003,40.09917,-94.55319,5/6/2017 10:01
N17003,40.09946,-94.55324,5/6/2017 15:01
N17003,40.09467,-94.54987,5/6/2017 20:01
N17003,40.09676,-94.54664,5/7/2017 1:01
N17003,40.0991,-94.54538,5/7/2017 6:01
N17003,40.09982,-94.5463,5/7/2017 11:01
N17003,40.09984,-94.54595,5/7/2017 16:02
N17003,40.10136,-94.54624,5/7/2017 21:01
N17003,40.10194,-94.54567,5/8/2017 2:01
N17003,40.10085,-94.54094,5/8/2017 7:01
N17003,40.10116,-94.54166,5/8/2017 12:01
N17003,40.10087,-94.541,5/8/2017 17:01
N17003,40.10037,-94.53941,5/8/2017 22:01
N17003,40.10041,-94.53941,5/9/2017 3:01
N17003,40.10123,-94.53968,5/9/2017 8:01
N17003,40.10172,-94.53939,5/9/2017 13:01
N17003,40.10197,-94.53952,5/9/2017 18:01
N17003,40.10376,-94.54067,5/9/2017 23:01
N17003,40.10362,-94.54151,5/10/2017 4:01
N17003,40.1007,-94.54219,5/10/2017 9:01
N17003,40.1009,-94.54275,5/10/2017 14:01
N17003,40.10273,-94.54151,5/10/2017 19:01
N17003,40.1033,-94.54495,5/11/2017 0:01
N17003,40.10293,-94.54431,5/11/2017 5:01
N17003,40.10078,-94.54212,5/11/2017 10:01
N17003,40.1011,-94.54254,5/11/2017 15:01
N17003,40.10326,-94.54058,5/11/2017 20:01
N17003,40.10395,-94.5406,5/12/2017 1:01
N17003,40.10079,-94.54098,5/12/2017 6:01
N17003,40.10047,-94.54149,5/12/2017 11:01
N17003,40.1004,-94.54135,5/12/2017 16:02
N17003,40.10057,-94.53981,5/12/2017 21:01
N17003,40.10041,-94.54029,5/13/2017 2:01
N17003,40.10101,-94.54094,5/13/2017 7:01
N17003,40.10068,-94.54239,5/13/2017 12:01
N17003,40.10025,-94.54273,5/13/2017 17:02
N17003,40.10169,-94.54289,5/13/2017 22:01
N17003,40.10193,-94.54567,5/14/2017 3:01
N17003,40.10089,-94.54673,5/14/2017 8:01
N17003,40.1007,-94.5464,5/14/2017 13:02
N17003,40.10035,-94.54674,5/14/2017 18:01
N17003,40.09454,-94.5449,5/14/2017 23:01
N17003,40.0955,-94.53453,5/15/2017 4:01
N17003,40.09567,-94.54006,5/15/2017 9:01
N17003,40.09634,-94.54006,5/15/2017 14:01
N17003,40.09637,-94.54036,5/15/2017 19:01
N17003,40.0928,-94.5352,5/16/2017 0:01
N17003,40.10083,-94.54098,5/16/2017 5:01
N17003,40.10074,-94.54214,5/16/2017 10:01
N17003,40.09968,-94.54212,5/16/2017 15:01
N17003,40.10075,-94.54094,5/16/2017 20:01
N17003,40.09997,-94.54003,5/17/2017 1:01
N17003,40.09918,-94.54216,5/17/2017 6:01
N17003,40.09939,-94.54201,5/17/2017 11:02
N17003,40.10177,-94.53987,5/17/2017 16:01
N17003,40.10206,-94.54325,5/17/2017 21:01
N17003,40.10213,-94.54433,5/18/2017 2:01
N17003,40.10002,-94.54397,5/18/2017 7:01
N17003,40.10003,-94.54401,5/18/2017 12:01
N17003,40.09997,-94.54384,5/18/2017 17:01
N17003,40.0975,-94.54529,5/18/2017 22:01
